urls,created_at,level1_count,level_2_3_valid,level2_count,level3_count
https://tkpo.st/3sryRbb,2021-03-27 10:25:00+05:45,0,1,0,0
https://tkpo.st/3ubNZu3,2021-03-27 08:35:00+05:45,0,0,0,0
https://tkpo.st/31lW3fl,2021-03-27 08:00:00+05:45,0,0,0,0
https://tkpo.st/3csFgNQ,2021-03-27 07:25:53+05:45,0,1,1,0
http://tkpo.st/31howTx,2021-03-27 05:10:00+05:45,0,1,1,0
http://tkpo.st/3lQEZHs,2021-03-27 03:00:00+05:45,0,0,0,0
http://tkpo.st/31ivUxQ,2021-03-27 01:04:00+05:45,0,1,0,0
http://tkpo.st/31iZL9e,2021-03-26 23:20:00+05:45,1,1,1,0
http://tkpo.st/3ffDelU,2021-03-26 22:22:00+05:45,0,0,0,0
https://tkpo.st/2QI9Cnd,2021-03-26 21:36:47+05:45,0,0,0,0
https://tkpo.st/2NWxxhJ,2021-03-26 21:29:08+05:45,0,0,0,0
http://tkpo.st/3sstzMI,2021-03-26 21:10:00+05:45,0,0,0,0
https://tkpo.st/31iwdss,2021-03-26 19:04:01+05:45,1,0,0,0
http://tkpo.st/3rmcMtp,2021-03-26 16:03:00+05:45,0,0,0,0
https://tkpo.st/2P8XYRN,2021-03-26 15:52:14+05:45,1,1,0,0
https://tkpo.st/3fecqCA,2021-03-26 15:00:00+05:45,0,1,0,0
https://tkpo.st/3srfDCE,2021-03-26 14:15:00+05:45,0,0,0,0
https://tkpo.st/31g1GeX,2021-03-26 13:37:00+05:45,1,1,1,0
https://tkpo.st/31xAsRf,2021-03-26 13:00:00+05:45,0,0,0,0
https://tkpo.st/3fhvuQj,2021-03-26 12:40:00+05:45,0,1,0,0
https://tkpo.st/3coYXX3,2021-03-26 12:25:00+05:45,0,0,0,0
https://tkpo.st/3fdIbM8,2021-03-26 11:48:00+05:45,0,0,0,0
https://tkpo.st/3fhukEK,2021-03-26 11:30:00+05:45,0,1,0,0
https://tkpo.st/31howTx,2021-03-26 10:37:00+05:45,0,1,1,0
https://tkpo.st/3lQEZHs,2021-03-26 10:00:00+05:45,0,0,0,0
https://tkpo.st/31iZL9e,2021-03-26 08:50:00+05:45,1,1,1,0
https://tkpo.st/3sstzMI,2021-03-26 08:20:00+05:45,0,0,0,0
https://tkpo.st/3rmcMtp,2021-03-26 07:27:00+05:45,0,0,0,0
http://tkpo.st/3skjvoV,2021-03-26 06:36:00+05:45,0,0,0,0
http://tkpo.st/31gBTDs,2021-03-26 03:35:00+05:45,0,0,0,0
http://tkpo.st/3chKjR9,2021-03-26 01:35:00+05:45,0,1,1,0
https://tkpo.st/31ivUxQ,2021-03-25 22:23:38+05:45,0,1,0,0
http://tkpo.st/31g4kBn,2021-03-25 22:10:00+05:45,0,0,0,0
http://tkpo.st/3sihTfm,2021-03-25 19:35:00+05:45,0,0,0,0
https://tkpo.st/3cmw8dD,2021-03-25 19:21:59+05:45,0,0,0,0
http://tkpo.st/2P3PRG7,2021-03-25 17:20:00+05:45,0,1,1,0
https://tkpo.st/2P74x7h,2021-03-25 17:01:58+05:45,1,1,0,0
http://tkpo.st/39d7ZEj,2021-03-25 15:30:00+05:45,0,0,0,0
https://tkpo.st/3tPJqFm,2021-03-25 14:55:00+05:45,0,0,0,0
https://tkpo.st/3tSw37r,2021-03-25 14:10:00+05:45,0,0,0,0
https://tkpo.st/3lIV6ac,2021-03-25 13:25:00+05:45,0,1,0,0
https://tkpo.st/2Pud5ox,2021-03-25 13:11:23+05:45,0,1,1,0
https://tkpo.st/3cdLdy7,2021-03-25 12:50:00+05:45,0,1,1,0
https://tkpo.st/3svHbqk,2021-03-25 12:15:00+05:45,0,0,0,0
https://tkpo.st/31k9gF6,2021-03-25 11:40:00+05:45,0,0,0,0
https://tkpo.st/3d9A54J,2021-03-25 11:05:36+05:45,0,1,0,0
https://tkpo.st/31gBTDs,2021-03-25 10:10:00+05:45,0,0,0,0
https://tkpo.st/3chKjR9,2021-03-25 09:35:00+05:45,0,1,1,0
https://tkpo.st/31g4kBn,2021-03-25 09:00:00+05:45,0,0,0,0
https://tkpo.st/3sihTfm,2021-03-25 08:25:00+05:45,0,0,0,0
https://tkpo.st/2P3PRG7,2021-03-25 07:50:00+05:45,0,1,1,0
https://tkpo.st/39d7ZEj,2021-03-25 07:20:00+05:45,0,0,0,0
http://tkpo.st/3cdLAbP,2021-03-25 06:30:00+05:45,0,0,0,0
http://tkpo.st/2NIS49e,2021-03-25 03:30:00+05:45,0,0,0,0
http://tkpo.st/3siM1Hp,2021-03-25 02:30:00+05:45,0,0,0,0
http://tkpo.st/3lMniZz,2021-03-25 00:00:00+05:45,0,1,1,0
http://tkpo.st/3rdiVIi,2021-03-24 20:25:00+05:45,1,0,0,0
http://tkpo.st/3sf2Pz3,2021-03-24 18:30:00+05:45,0,1,1,0
https://tkpo.st/3cisWQa,2021-03-24 17:00:37+05:45,1,1,0,0
http://tkpo.st/319SNTV,2021-03-24 16:40:00+05:45,0,0,0,0
https://tkpo.st/3cUvTFy,2021-03-24 15:37:57+05:45,0,1,0,0
https://tkpo.st/3skjvoV,2021-03-24 15:31:47+05:45,0,0,0,0
https://tkpo.st/3skGMHe,2021-03-24 14:00:00+05:45,0,1,0,0
https://tkpo.st/2NIS49e,2021-03-24 13:10:00+05:45,0,0,0,0
https://tkpo.st/31gkL0g,2021-03-24 12:30:00+05:45,0,0,0,0
https://tkpo.st/3cdLAbP,2021-03-24 11:50:00+05:45,0,0,0,0
https://tkpo.st/3siM1Hp,2021-03-24 11:13:00+05:45,0,0,0,0
https://tkpo.st/31cHwT0,2021-03-24 11:01:20+05:45,0,0,0,0
https://tkpo.st/3cVJlct,2021-03-24 10:37:00+05:45,0,1,1,0
https://tkpo.st/3lMniZz,2021-03-24 10:00:00+05:45,0,1,1,0
https://tkpo.st/3rdiVIi,2021-03-24 09:25:00+05:45,1,0,0,0
https://tkpo.st/3sf2Pz3,2021-03-24 08:50:00+05:45,0,1,1,0
https://tkpo.st/319SNTV,2021-03-24 08:20:00+05:45,0,0,0,0
https://tkpo.st/3lGp7aJ,2021-03-24 07:54:00+05:45,0,0,0,0
https://tkpo.st/398Hfow,2021-03-24 07:33:31+05:45,0,1,1,0
http://tkpo.st/3cgwRx7,2021-03-24 04:10:00+05:45,0,0,0,0
http://tkpo.st/3f4gTHR,2021-03-24 02:30:00+05:45,0,1,1,0
https://tkpo.st/2PmU3QV,2021-03-23 16:42:17+05:45,1,1,0,0
https://tkpo.st/3se3HE1,2021-03-23 16:15:21+05:45,0,1,1,0
https://tkpo.st/3f76lYM,2021-03-23 15:45:01+05:45,0,0,0,0
https://tkpo.st/3cgwRx7,2021-03-23 14:00:00+05:45,0,0,0,0
https://tkpo.st/319QrEM,2021-03-23 13:51:34+05:45,0,0,0,0
https://tkpo.st/318LlIE,2021-03-23 13:30:00+05:45,1,1,1,0
https://tkpo.st/3lH8QlD,2021-03-23 13:20:50+05:45,0,1,1,0
https://tkpo.st/3vTy0lG,2021-03-23 13:00:00+05:45,0,0,0,0
https://tkpo.st/2QqKctX,2021-03-23 12:57:54+05:45,0,0,0,0
https://tkpo.st/2PjoAix,2021-03-23 12:24:00+05:45,0,0,0,0
https://tkpo.st/3tI5CB7,2021-03-23 11:00:00+05:45,0,1,1,0
https://tkpo.st/3vTfUk3,2021-03-23 10:12:00+05:45,0,0,0,0
https://tkpo.st/318m01H,2021-03-23 09:18:44+05:45,0,0,0,0
https://tkpo.st/3sdVv6Z,2021-03-23 09:03:33+05:45,0,0,0,0
https://tkpo.st/3f4gTHR,2021-03-23 09:00:00+05:45,0,1,1,0
https://tkpo.st/3rc3a4u,2021-03-23 08:22:08+05:45,0,0,0,0
